pf, N, m, T, sigma, cut, Z, error, EOS_CS, EOS_kolafa, EOS_gottschalk, EOS_thol, EOS_mecke, EOS_hess
2.500e-02, 6.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, 9.795e-01, 6.850e-04, 1.107e+00, 9.810e-01, 9.476e-01, 1.000e+00, 9.911e-01, 9.505e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, 9.664e-01, 5.254e-03, 1.227e+00, 9.740e-01, 9.058e-01, 1.001e+00, 9.966e-01, 9.186e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, 9.649e-01, 2.959e-03, 1.365e+00, 9.837e-01, 8.763e-01, 1.003e+00, 1.019e+00, 9.082e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, 9.707e-01, 5.155e-03, 1.521e+00, 1.013e+00, 8.603e-01, 1.006e+00, 1.060e+00, 9.241e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, 9.838e-01, 2.538e-03, 1.107e+00, 9.857e-01, 9.545e-01, 1.001e+00, 9.954e-01, 9.575e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, 9.754e-01, 3.208e-03, 1.227e+00, 9.833e-01, 9.195e-01, 1.003e+00, 1.005e+00, 9.325e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, 9.752e-01, 3.084e-03, 1.365e+00, 9.975e-01, 8.967e-01, 1.006e+00, 1.031e+00, 9.291e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, 9.882e-01, 5.446e-03, 1.521e+00, 1.031e+00, 8.874e-01, 1.009e+00, 1.077e+00, 9.518e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, 9.885e-01, 1.437e-03, 1.107e+00, 9.900e-01, 9.614e-01, 1.002e+00, 9.994e-01, 9.644e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, 9.809e-01, 4.885e-03, 1.227e+00, 9.919e-01, 9.332e-01, 1.005e+00, 1.013e+00, 9.465e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, 9.854e-01, 2.817e-03, 1.365e+00, 1.010e+00, 9.171e-01, 1.008e+00, 1.043e+00, 9.502e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, 1.001e+00, 7.419e-03, 1.521e+00, 1.048e+00, 9.145e-01, 1.013e+00, 1.093e+00, 9.799e-01
2.500e-02, 6.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, 9.911e-01, 1.136e-03, 1.107e+00, 9.940e-01, 9.683e-01, 1.003e+00, 1.003e+00, 9.715e-01
5.000e-02, 6.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, 9.874e-01, 1.587e-03, 1.227e+00, 9.999e-01, 9.470e-01, 1.007e+00, 1.020e+00, 9.606e-01
7.500e-02, 6.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, 9.972e-01, 3.380e-03, 1.365e+00, 1.022e+00, 9.376e-01, 1.011e+00, 1.054e+00, 9.713e-01
1.000e-01, 6.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, 1.017e+00, 8.634e-03, 1.521e+00, 1.064e+00, 9.415e-01, 1.016e+00, 1.108e+00, 1.008e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 9.941e-01, 9.155e-04, 1.107e+00, 9.977e-01, 9.753e-01, 1.004e+00, 1.007e+00, 9.785e-01
5.000e-02, 6.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 9.975e-01, 1.350e-03, 1.227e+00, 1.007e+00, 9.608e-01, 1.008e+00, 1.027e+00, 9.748e-01
7.500e-02, 6.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.008e+00, 3.232e-03, 1.365e+00, 1.033e+00, 9.581e-01, 1.013e+00, 1.065e+00, 9.926e-01
1.000e-01, 6.000e+03, 1.000e+00, 3.000e+00, 1.000e+00, 4.500e+00, 1.030e+00, 5.665e-03, 1.521e+00, 1.079e+00, 9.687e-01, 1.019e+00, 1.121e+00, 1.037e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, 9.979e-01, 2.998e-04, 1.107e+00, 1.001e+00, 9.822e-01, 1.004e+00, 1.010e+00, 9.855e-01
5.000e-02, 6.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, 1.002e+00, 3.504e-04, 1.227e+00, 1.014e+00, 9.746e-01, 1.009e+00, 1.034e+00, 9.890e-01
7.500e-02, 6.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, 1.014e+00, 3.957e-03, 1.365e+00, 1.044e+00, 9.787e-01, 1.015e+00, 1.075e+00, 1.014e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.100e+00, 1.000e+00, 4.500e+00, 1.037e+00, 5.836e-03, 1.521e+00, 1.092e+00, 9.958e-01, 1.021e+00, 1.134e+00, 1.065e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.200e+00, 1.000e+00, 4.500e+00, 1.000e+00, 1.711e-03, 1.107e+00, 1.004e+00, 9.892e-01, 1.005e+00, 1.013e+00, 9.926e-01
5.000e-02, 6.000e+03, 1.000e+00, 3.200e+00, 1.000e+00, 4.500e+00, 1.007e+00, 1.947e-03, 1.227e+00, 1.021e+00, 9.884e-01, 1.011e+00, 1.040e+00, 1.003e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.200e+00, 1.000e+00, 4.500e+00, 1.025e+00, 2.043e-03, 1.365e+00, 1.053e+00, 9.993e-01, 1.017e+00, 1.084e+00, 1.035e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.200e+00, 1.000e+00, 4.500e+00, 1.053e+00, 8.110e-03, 1.521e+00, 1.105e+00, 1.023e+00, 1.024e+00, 1.146e+00, 1.094e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.300e+00, 1.000e+00, 4.500e+00, 1.003e+00, 1.345e-03, 1.107e+00, 1.007e+00, 9.962e-01, 1.006e+00, 1.016e+00, 9.997e-01
5.000e-02, 6.000e+03, 1.000e+00, 3.300e+00, 1.000e+00, 4.500e+00, 1.012e+00, 4.479e-04, 1.227e+00, 1.027e+00, 1.002e+00, 1.012e+00, 1.046e+00, 1.017e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.300e+00, 1.000e+00, 4.500e+00, 1.031e+00, 2.600e-03, 1.365e+00, 1.063e+00, 1.020e+00, 1.018e+00, 1.092e+00, 1.057e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.300e+00, 1.000e+00, 4.500e+00, 1.063e+00, 3.448e-03, 1.521e+00, 1.117e+00, 1.050e+00, 1.026e+00, 1.158e+00, 1.123e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.400e+00, 1.000e+00, 4.500e+00, 1.006e+00, 1.751e-03, 1.107e+00, 1.010e+00, 1.003e+00, 1.006e+00, 1.018e+00, 1.007e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.400e+00, 1.000e+00, 4.500e+00, 1.016e+00, 1.360e-03, 1.227e+00, 1.033e+00, 1.016e+00, 1.013e+00, 1.051e+00, 1.032e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.400e+00, 1.000e+00, 4.500e+00, 1.040e+00, 4.432e-03, 1.365e+00, 1.071e+00, 1.041e+00, 1.020e+00, 1.100e+00, 1.079e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.400e+00, 1.000e+00, 4.500e+00, 1.068e+00, 4.052e-03, 1.521e+00, 1.129e+00, 1.077e+00, 1.028e+00, 1.169e+00, 1.151e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.009e+00, 1.148e-03, 1.107e+00, 1.013e+00, 1.010e+00, 1.007e+00, 1.021e+00, 1.014e+00
